loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.8142,9.788538932800293,1.9766619519094767e-05,0.03536380514543365,100,,,,,,,,,
2.0251,3.4257802963256836,1.9530881659594532e-05,0.0707276102908673,200,,,,,,,,,
1.8371,2.2573189735412598,1.9295143800094297e-05,0.10609141543630095,300,,,,,,,,,
1.7915,2.3406331539154053,1.905940594059406e-05,0.1414552205817346,400,,,,,,,,,
1.7426,2.4143309593200684,1.8823668081093823e-05,0.17681902572716823,500,,,,,,,,,
1.7363,2.2290422916412354,1.8587930221593588e-05,0.2121828308726019,600,,,,,,,,,
1.7385,2.3664603233337402,1.8352192362093353e-05,0.24754663601803553,700,,,,,,,,,
1.7324,1.9395036697387695,1.8116454502593117e-05,0.2829104411634692,800,,,,,,,,,
1.7283,2.1632986068725586,1.7880716643092882e-05,0.31827424630890283,900,,,,,,,,,
1.6709,2.574129581451416,1.7644978783592647e-05,0.35363805145433647,1000,,,,,,,,,
1.6832,2.113051176071167,1.740924092409241e-05,0.38900185659977016,1100,,,,,,,,,
1.679,2.2903759479522705,1.7173503064592174e-05,0.4243656617452038,1200,,,,,,,,,
1.6644,2.034360408782959,1.693776520509194e-05,0.45972946689063743,1300,,,,,,,,,
1.6675,2.056352138519287,1.6702027345591703e-05,0.49509327203607106,1400,,,,,,,,,
1.6342,2.051987648010254,1.6466289486091468e-05,0.5304570771815047,1500,,,,,,,,,
,,,0.5304570771815047,1500,1.602034568786621,65.5265,172.617,21.579,,,,,
1.6489,2.1144561767578125,1.623055162659123e-05,0.5658208823269384,1600,,,,,,,,,
1.6372,1.9786962270736694,1.5994813767090994e-05,0.6011846874723721,1700,,,,,,,,,
1.6471,2.141998529434204,1.575907590759076e-05,0.6365484926178057,1800,,,,,,,,,
1.6416,1.8950029611587524,1.5523338048090524e-05,0.6719122977632394,1900,,,,,,,,,
1.651,2.198805332183838,1.528760018859029e-05,0.7072761029086729,2000,,,,,,,,,
1.599,2.1456894874572754,1.5051862329090052e-05,0.7426399080541066,2100,,,,,,,,,
1.6669,1.9327912330627441,1.4816124469589817e-05,0.7780037131995403,2200,,,,,,,,,
1.6056,1.9219563007354736,1.458038661008958e-05,0.8133675183449739,2300,,,,,,,,,
1.6107,2.0023257732391357,1.4344648750589345e-05,0.8487313234904076,2400,,,,,,,,,
1.6262,2.25343918800354,1.410891089108911e-05,0.8840951286358412,2500,,,,,,,,,
1.6084,2.1404125690460205,1.3873173031588873e-05,0.9194589337812749,2600,,,,,,,,,
1.6044,2.119908571243286,1.3637435172088638e-05,0.9548227389267085,2700,,,,,,,,,
1.5881,2.064509630203247,1.3401697312588403e-05,0.9901865440721421,2800,,,,,,,,,
1.5484,2.0457394123077393,1.3165959453088166e-05,1.0254619397047122,2900,,,,,,,,,
1.4666,2.173536539077759,1.293022159358793e-05,1.060825744850146,3000,,,,,,,,,
,,,1.060825744850146,3000,1.557269811630249,66.0544,171.238,21.407,,,,,
1.4743,1.977522850036621,1.2694483734087694e-05,1.0961895499955796,3100,,,,,,,,,
1.4694,2.046221971511841,1.2458745874587459e-05,1.1315533551410133,3200,,,,,,,,,
1.4674,1.9982458353042603,1.2223008015087224e-05,1.1669171602864468,3300,,,,,,,,,
1.5012,2.338975191116333,1.1987270155586987e-05,1.2022809654318805,3400,,,,,,,,,
1.4239,2.0372910499572754,1.1751532296086752e-05,1.2376447705773141,3500,,,,,,,,,
1.4558,1.9588733911514282,1.1515794436586517e-05,1.2730085757227478,3600,,,,,,,,,
1.4541,2.099848985671997,1.128005657708628e-05,1.3083723808681813,3700,,,,,,,,,
1.4466,2.2611875534057617,1.1044318717586045e-05,1.343736186013615,3800,,,,,,,,,
1.4942,1.6604403257369995,1.080858085808581e-05,1.3790999911590487,3900,,,,,,,,,
1.4954,2.4433512687683105,1.0572842998585573e-05,1.4144637963044824,4000,,,,,,,,,
1.4465,2.2434847354888916,1.0337105139085338e-05,1.449827601449916,4100,,,,,,,,,
1.4805,1.9016997814178467,1.01013672795851e-05,1.4851914065953498,4200,,,,,,,,,
1.4741,1.8738720417022705,9.865629420084867e-06,1.5205552117407835,4300,,,,,,,,,
1.4404,2.0497288703918457,9.62989156058463e-06,1.555919016886217,4400,,,,,,,,,
1.4656,1.8855842351913452,9.394153701084395e-06,1.5912828220316506,4500,,,,,,,,,
,,,1.5912828220316506,4500,1.5348162651062012,66.0211,171.324,21.417,,,,,
1.4565,2.0433857440948486,9.15841584158416e-06,1.6266466271770843,4600,,,,,,,,,
1.4273,1.980428695678711,8.922677982083923e-06,1.6620104323225178,4700,,,,,,,,,
1.4551,2.044400453567505,8.686940122583688e-06,1.6973742374679515,4800,,,,,,,,,
1.4627,1.8623096942901611,8.451202263083453e-06,1.7327380426133852,4900,,,,,,,,,
1.4457,1.9990171194076538,8.215464403583216e-06,1.7681018477588188,5000,,,,,,,,,
1.4668,1.8833973407745361,7.979726544082981e-06,1.8034656529042525,5100,,,,,,,,,
1.4632,2.0741868019104004,7.743988684582744e-06,1.8388294580496862,5200,,,,,,,,,
1.4612,2.259333372116089,7.508250825082509e-06,1.87419326319512,5300,,,,,,,,,
1.4382,1.8602323532104492,7.272512965582274e-06,1.9095570683405536,5400,,,,,,,,,
1.4531,1.950536847114563,7.036775106082038e-06,1.944920873485987,5500,,,,,,,,,
1.4624,2.0867786407470703,6.801037246581802e-06,1.9802846786314208,5600,,,,,,,,,
1.4155,1.9775651693344116,6.565299387081566e-06,2.0155600742639908,5700,,,,,,,,,
1.3505,2.2306735515594482,6.329561527581331e-06,2.0509238794094244,5800,,,,,,,,,
1.3462,2.061267852783203,6.093823668081095e-06,2.086287684554858,5900,,,,,,,,,
1.3305,2.200665235519409,5.858085808580859e-06,2.121651489700292,6000,,,,,,,,,
,,,2.121651489700292,6000,1.5271247625350952,65.8336,171.812,21.478,,,,,
1.3484,2.344632148742676,5.622347949080623e-06,2.1570152948457255,6100,,,,,,,,,
1.3613,2.066983222961426,5.386610089580388e-06,2.192379099991159,6200,,,,,,,,,
1.3644,2.20255970954895,5.150872230080152e-06,2.227742905136593,6300,,,,,,,,,
1.3306,2.165736675262451,4.915134370579916e-06,2.2631067102820266,6400,,,,,,,,,
1.3606,2.3729500770568848,4.67939651107968e-06,2.29847051542746,6500,,,,,,,,,
1.3256,2.0161960124969482,4.443658651579444e-06,2.3338343205728935,6600,,,,,,,,,
1.3525,2.1598665714263916,4.207920792079208e-06,2.369198125718327,6700,,,,,,,,,
1.3685,2.421215057373047,3.972182932578973e-06,2.404561930863761,6800,,,,,,,,,
1.3683,2.027137517929077,3.7364450730787366e-06,2.4399257360091946,6900,,,,,,,,,
1.2931,1.9973766803741455,3.5007072135785006e-06,2.4752895411546283,7000,,,,,,,,,
1.3284,1.9097263813018799,3.264969354078265e-06,2.510653346300062,7100,,,,,,,,,
1.3595,2.119765281677246,3.0292314945780295e-06,2.5460171514454957,7200,,,,,,,,,
1.3459,1.8951176404953003,2.7934936350777935e-06,2.5813809565909294,7300,,,,,,,,,
1.3495,2.255462646484375,2.557755775577558e-06,2.6167447617363626,7400,,,,,,,,,
1.3593,2.182499885559082,2.322017916077322e-06,2.6521085668817967,7500,,,,,,,,,
,,,2.6521085668817967,7500,1.526771903038025,65.9366,171.544,21.445,,,,,
1.3463,1.9563745260238647,2.0862800565770864e-06,2.68747237202723,7600,,,,,,,,,
1.3372,2.401279926300049,1.8505421970768506e-06,2.7228361771726637,7700,,,,,,,,,
1.3297,2.0578033924102783,1.6148043375766149e-06,2.7581999823180974,7800,,,,,,,,,
1.3481,2.3437042236328125,1.379066478076379e-06,2.793563787463531,7900,,,,,,,,,
1.3712,1.8757716417312622,1.1433286185761435e-06,2.8289275926089648,8000,,,,,,,,,
1.3447,2.1158761978149414,9.075907590759076e-07,2.8642913977543984,8100,,,,,,,,,
1.3629,2.3087544441223145,6.71852899575672e-07,2.899655202899832,8200,,,,,,,,,
1.3525,2.0037460327148438,4.361150400754362e-07,2.935019008045266,8300,,,,,,,,,
1.3599,2.0271899700164795,2.003771805752004e-07,2.9703828131906995,8400,,,,,,,,,
,,,3.0,8484,,,,,9047.7504,30.003,0.938,7.353721441537229e+16,1.5113784946511792
